# fast-lzma2 1.0.1
# corpus_files=1 corpus_bytes=211938580 mode=solid
# cthreads=2 dthreads=1 iterations=3
mode	level	dict	in_bytes	out_bytes	ratio	c_MBps	d_MBps
normal	1	1048576	211938580	59120771	0.278952	28.42	65.66
normal	2	2097152	211938580	56448840	0.266345	23.87	67.01
normal	3	2097152	211938580	54099427	0.255260	17.73	73.37
normal	4	4194304	211938580	52238568	0.246480	14.84	77.10
normal	5	8388608	211938580	51236575	0.241752	12.18	78.64
normal	6	16777216	211938580	50130196	0.236532	8.57	72.54
normal	7	33554432	211938580	49482910	0.233478	7.85	75.32
normal	8	67108864	211938580	49134867	0.231835	7.03	78.02
normal	9	67108864	211938580	48892699	0.230693	6.57	81.36
normal	10	134217728	211938580	48666177	0.229624	5.76	82.13
