# uf-lzma2 1.4.0
# corpus_files=1 corpus_bytes=211938580 mode=solid
# cthreads=2 dthreads=1 iterations=3
mode	level	dict	in_bytes	out_bytes	ratio	c_MBps	d_MBps
normal	1	1048576	211938580	59120771	0.278952	28.47	88.97
normal	2	2097152	211938580	56448840	0.266345	25.23	98.00
normal	3	2097152	211938580	54099427	0.255260	16.88	99.13
normal	4	4194304	211938580	52238568	0.246480	14.47	98.75
normal	5	8388608	211938580	51236575	0.241752	11.03	100.69
normal	6	16777216	211938580	50130196	0.236532	9.49	107.15
normal	7	33554432	211938580	49482910	0.233478	8.21	106.89
normal	8	67108864	211938580	49134867	0.231835	7.10	109.09
normal	9	67108864	211938580	48892699	0.230693	6.39	109.78
normal	10	134217728	211938580	48666177	0.229624	5.69	110.86
normal	11	134217728	211938580	48661422	0.229602	1.80	109.64
